COSMIC_SAMPLE_ID	SAMPLE_NAME	COSMIC_GENE_ID	GENE_SYMBOL	REGULATION	Z_SCORE	COSMIC_STUDY_ID
COSS905985	SF295	COSG61199	CAMTA1	normal	       0.551	COSU3
COSS905990	OVCAR-4	COSG61199	CAMTA1	normal	      -0.365	COSU3
COSS905967	NCI-H322M	COSG61199	CAMTA1	normal	      -0.960	COSU3
COSS905968	IGROV-1	COSG61199	CAMTA1	normal	       0.723	COSU3
COSS905954	SK-MEL-28	COSG61199	CAMTA1	normal	       1.107	COSU3
COSS905969	OVCAR-5	COSG61199	CAMTA1	normal	       1.024	COSU3
COSS905971	HCC2998	COSG61199	CAMTA1	normal	      -0.390	COSU3
COSS905958	MOLT-4	COSG95238	TNFRSF8	normal	       1.146	COSU3
COSS905935	DU-145	COSG95238	TNFRSF8	normal	      -1.403	COSU3
COSS905946	MCF7	COSG95238	TNFRSF8	normal	       0.898	COSU3
COSS905964	RPMI-8226	COSG95238	TNFRSF8	normal	       0.970	COSU3
COSS905976	UACC-62	COSG95238	TNFRSF8	normal	       0.214	COSU3
COSS905950	ACHN	COSG95238	TNFRSF8	normal	      -1.072	COSU3
COSS905961	COLO-205	COSG95238	TNFRSF8	normal	       0.539	COSU3
COSS905971	HCC2998	COSG95238	TNFRSF8	normal	      -1.519	COSU3
COSS905979	SN12C	COSG88102	EPHA2	normal	       1.453	COSU3
COSS905980	TK10	COSG88102	EPHA2	normal	       0.395	COSU3
COSS905984	SF539	COSG88102	EPHA2	normal	       0.203	COSU3
COSS905958	MOLT-4	COSG88102	EPHA2	normal	      -1.112	COSU3
COSS905968	IGROV-1	COSG88102	EPHA2	normal	      -0.190	COSU3
COSS905939	HT-29	COSG88102	EPHA2	normal	       0.788	COSU3
COSS905952	CCRF-CEM	COSG88102	EPHA2	normal	      -1.063	COSU3
COSS905933	OVCAR-3	COSG88102	EPHA2	normal	       1.874	COSU3
COSS905979	SN12C	COSG58112	CEP85	normal	       0.248	COSU3
COSS905955	SK-MEL-2	COSG58112	CEP85	normal	      -0.569	COSU3
COSS905990	OVCAR-4	COSG58112	CEP85	normal	      -0.112	COSU3
COSS905935	DU-145	COSG58112	CEP85	normal	       0.615	COSU3
COSS905964	RPMI-8226	COSG58112	CEP85	normal	       1.307	COSU3
COSS905934	PC-3	COSG58112	CEP85	normal	      -0.375	COSU3
COSS905962	SW620	COSG58112	CEP85	normal	       0.359	COSU3
COSS905957	Hs-578-T	COSG58112	CEP85	normal	       0.435	COSU3
COSS905982	SNB75	COSG58112	CEP85	normal	       0.047	COSU3
COSS905938	HL-60	COSG58112	CEP85	normal	       1.985	COSU3
COSS905970	EKVX	COSG91768	DNAJC8	normal	      -1.412	COSU3
COSS905980	TK10	COSG91768	DNAJC8	normal	      -0.538	COSU3
COSS905972	HOP-62	COSG91768	DNAJC8	normal	      -0.531	COSU3
COSS905975	M14	COSG91768	DNAJC8	normal	       1.157	COSU3
COSS905986	SF268	COSG91768	DNAJC8	normal	       0.736	COSU3
