COSMIC_SAMPLE_ID	SAMPLE_NAME	COSMIC_GENE_ID	GENE_SYMBOL	REGULATION	Z_SCORE	COSMIC_STUDY_ID
COSS1337808	TCGA-02-2483-01	COSG58311	SHC2	normal	       0.547	COSU329
COSS1337808	TCGA-02-2483-01	COSG61420	RGPD3	normal	      -0.595	COSU329
COSS1337808	TCGA-02-2483-01	COSG62939	GPC3	normal	      -0.182	COSU329
COSS1337808	TCGA-02-2483-01	COSG68451	AKNAD1	normal	       1.438	COSU329
COSS1337808	TCGA-02-2483-01	COSG70875	ELP5	normal	       0.086	COSU329
COSS1337808	TCGA-02-2483-01	COSG71937	FBXW9	normal	      -0.911	COSU329
COSS1337808	TCGA-02-2483-01	COSG73389	UNC13D	normal	      -1.078	COSU329
COSS1337808	TCGA-02-2483-01	COSG78096	BIRC6	normal	      -0.427	COSU329
COSS1337808	TCGA-02-2483-01	COSG81066	MT4	normal	       0.000	COSU329
COSS1337808	TCGA-02-2483-01	COSG82892	PODXL	normal	      -0.309	COSU329
COSS1337808	TCGA-02-2483-01	COSG82980	CHI3L1	normal	      -0.781	COSU329
COSS1337808	TCGA-02-2483-01	COSG84587	JAK3	normal	       0.259	COSU329
COSS1337808	TCGA-02-2483-01	COSG85357	CC2D1A	normal	      -1.102	COSU329
COSS1337808	TCGA-02-2483-01	COSG86089	ZNF574	normal	       1.601	COSU329
COSS1337808	TCGA-02-2483-01	COSG86669	PRICKLE2	normal	      -1.268	COSU329
COSS1337808	TCGA-02-2483-01	COSG89231	LCT	normal	      -0.901	COSU329
COSS1337808	TCGA-02-2483-01	COSG91293	OR5AK2	normal	      -0.198	COSU329
COSS1337808	TCGA-02-2483-01	COSG92677	SSC5D	normal	      -0.651	COSU329
COSS1337808	TCGA-02-2483-01	COSG95399	CCDC36	normal	      -0.041	COSU329
COSS1337808	TCGA-02-2483-01	COSG96994	SYNGAP1	normal	      -0.442	COSU329
