COSMIC_GENE_ID	LEGACY_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG59238	COSG409406	RBM4	ENSG00000173933.19	5936	9901	n	n
COSG59239	COSG401900	AL139039.1	ENSG00000216359.1			n	n
COSG59264	COSG423256	AC035139.1	ENSG00000228403.1			n	n
COSG59278	COSG415120	LINC00364	ENSG00000230040.1		42686	n	n
COSG59290	COSG6696	TCIRG1	ENSG00000110719.9	10312	11647	n	n
COSG59293	COSG456554	SNX18P4	ENSG00000229146.2		39612	n	n
COSG59855	COSG65146	LIN7B	ENSG00000104863.11	64130	17788	n	n
COSG59858	COSG612843	AC243654.2	ENSG00000275839.1			n	n
COSG59873	COSG455229	AL450344.2	ENSG00000226599.1			n	n
COSG59883	COSG580653	MIR466	ENSG00000265376.1		38359	n	n
COSG59887	COSG59874	PLIN2	ENSG00000147872.9	123	248	n	n
COSG59901	COSG633785	AC073488.7	ENSG00000282306.1			n	n
COSG61106	COSG605139	AC064862.6	ENSG00000243981.4			n	n
COSG61116	COSG513311	CCNHP1	ENSG00000251433.1		50854	n	n
COSG61153	COSG439688	IMPDH1P5	ENSG00000213513.3		33960	n	n
COSG58346	COSG480790	RN7SL125P	ENSG00000244514.3		46141	n	n
COSG58349	COSG432935	AL160004.2	ENSG00000230331.1			n	n
COSG58352	COSG422618	DPH3P2	ENSG00000237040.6		38719	n	n
COSG58364	COSG58599	GFRAL	ENSG00000187871.2	389400	32789	n	n
COSG58374	COSG390367	TRBV11-1	ENSG00000211720.3		12180	n	n
COSG58381	COSG444162	AP000534.1	ENSG00000233408.1			n	n
COSG58384	COSG59999	OSTF1	ENSG00000134996.11	26578	8510	n	n
COSG58385	COSG593078	AC090220.1	ENSG00000266965.1			n	n
COSG58396	COSG55472	SLC9C2	ENSG00000162753.11	284525	28664	n	n
COSG58404	COSG589603	AC002115.1	ENSG00000267626.1			n	n
COSG60626	COSG505564	AC012339.1	ENSG00000248762.2			n	n
COSG60658	COSG642050	PPT1	ENSG00000131238.17	5538	9325	n	n
COSG61247	COSG620112	AC015726.2	ENSG00000276406.1			n	n
COSG60066	COSG583386	MIR3928	ENSG00000264141.1		38933	n	n
COSG60095	COSG534271	AC136475.4	ENSG00000255089.1			n	n
COSG60124	COSG218224	PQBP1	ENSG00000102103.15	10084	9330	n	n
COSG58411	COSG342691	AC092268.1	ENSG00000189145.7			n	n
COSG58453	COSG607056	AC093297.2	ENSG00000272335.1			n	n
COSG58455	COSG62012	CCER1	ENSG00000197651.4	196477	28373	n	n
COSG58477	COSG58440	HSD17B8	ENSG00000204228.3	7923	3554	n	n
COSG61288	COSG379677	LINC01460	ENSG00000205334.2		50858	n	n
COSG61292	COSG92106	RAD51C	ENSG00000108384.14	5889	9820	y	y
COSG61324	COSG55110	NHLH2	ENSG00000177551.5	4808	7818	n	n
COSG60146	COSG390313	IGLV3-12	ENSG00000211667.3		5898	n	n
COSG60154	COSG74613	TRNP1	ENSG00000253368.3	388610	34348	n	n
COSG60184	COSG591655	PNLIPRP2	ENSG00000266200.6	5408	9157	n	n
COSG60188	COSG410903	RNA5SP100	ENSG00000222835.1		42898	n	n
COSG60196	COSG410808	RNA5SP328	ENSG00000222740.1		43228	n	n
COSG60663	COSG75700	CFAP157	ENSG00000160401.14	286207	27843	n	n
COSG60727	COSG401483	RPL22P12	ENSG00000216867.2		36345	n	n
COSG58529	COSG636126	ZC3H11B	ENSG00000215817.5	643136	25659	n	n
COSG58544	COSG55109	CASQ2	ENSG00000118729.11	845	1513	n	n
COSG58549	COSG442518	AP002383.3	ENSG00000256779.2			n	n
COSG58551	COSG505870	GMDS-DT	ENSG00000250903.8		48993	n	n
COSG58553	COSG607245	AC137630.3	ENSG00000272434.1			n	n
COSG58556	COSG284727	ATP5MC3	ENSG00000154518.9	518	843	n	n
COSG58557	COSG565978	AC017100.1	ENSG00000259985.1			n	n
COSG60218	COSG399722	RBBP8	ENSG00000101773.18	5932	9891	n	n
COSG60231	COSG425466	RPS3AP44	ENSG00000234031.1		36761	n	n
COSG60241	COSG417268	SCAF8	ENSG00000213079.9	22828	20959	n	n
COSG60243	COSG605749	AC020728.1	ENSG00000271410.1			n	n
COSG60244	COSG636067	AC087482.1	ENSG00000259347.6			n	n
COSG60264	COSG92026	PRKAA1	ENSG00000132356.11	5562	9376	n	n
COSG60269	COSG424932	CKS1BP6	ENSG00000178556.8		24608	n	n
COSG60756	COSG436493	SDHAP3	ENSG00000185986.11		18781	n	n
COSG60769	COSG641008	INTS4P1	ENSG00000164669.13		21925	n	n
COSG60797	COSG555649	AL358332.1	ENSG00000258942.1			n	n
COSG61337	COSG63842	TMEM199	ENSG00000244045.12	147007	18085	n	n
COSG61339	COSG6929	NLRP8	ENSG00000179709.8	126205	22940	n	n
COSG61350	COSG384961	MIR1-2	ENSG00000284453.1		31500	n	n
COSG61358	COSG580309	AC005412.1	ENSG00000264050.1			n	n
COSG61377	COSG557959	AC090825.2	ENSG00000259655.1			n	n
COSG61381	COSG611660	CT45A8	ENSG00000278085.4	102723737	51261	n	n
COSG61394	COSG90270	SLURP2	ENSG00000283992.1	432355	25549	n	n
COSG61405	COSG504204	AC132803.1	ENSG00000251031.1			n	n
COSG58573	COSG600074	AC063977.6	ENSG00000269072.1			n	n
COSG58592	COSG592680	AC007773.1	ENSG00000267213.4			n	n
COSG58594	COSG458367	AL034349.1	ENSG00000224733.1			n	n
COSG58596	COSG107452	SLC12A4	ENSG00000124067.16	6560	10913	n	n
COSG58628	COSG508597	HMGB1P44	ENSG00000248956.1		39275	n	n
COSG60846	COSG641772	AL109936.6	ENSG00000284726.1			n	n
