GENE_SYMBOL	COSMIC_GENE_ID	TRANSCRIPT_ACCESSION	GENOMIC_MUTATION_ID	LEGACY_MUTATION_ID	MUTATION_ID	MUTATION_NC_ID	MUTATION_TYPE	IS_CANONICAL
AP005901.1	COSG99538	ENST00000504516.1	COSV61595981	COSN28642465	152249317		coding	n
BRAF	COSG99109	ENST00000642875.1	COSV56110986	COSN31977701	190043483		coding	n
SEC14L1	COSG77578	ENST00000431431.6	COSV107501281	COSM10383936	131507397		coding	n
TP53	COSG115384	ENST00000445888.6	COSV52681707	COSM3970355	134860196		coding	n
PCSK4	COSG63607	ENST00000591201.5	COSV52015440	COSM5640033	174180960		coding	n
ROBO1	COSG98579	ENST00000495273.5	COSV101459367	COSM8038950	145942329		coding	n
KCNMA1	COSG96591	ENST00000604624.6	COSV54224898	COSN30117808	176185750		coding	n
AC010127.1	COSG78638	ENST00000595268.3	COSV57658988	COSM3313215	174146205		coding	n
CCT7	COSG100765	ENST00000540468.5	COSV57821702	COSN25249082	163477468		coding	n
DOCK4	COSG80604	ENST00000428084.5	COSV70239269	COSN1340639	132179877		coding	n
LCE1B	COSG79071	ENST00000360090.3	COSV105275584	COSM9902213	117220280		coding	y
TMEM206	COSG97601	ENST00000261455.8	COSV54786414	COSN5364871	107547193		coding	n
VEGFA	COSG109027	ENST00000523873.5	COSV57878894	COSM3627759	158755688		coding	n
GFRA1	COSG84745	ENST00000355422.10	COSV62611210	COSN27935023	113668595		coding	y
PCDH11X	COSG107020	ENST00000373088.5	COSV53452941	COSM3708749	121392751		coding	n
RERGL	COSG91700	ENST00000540148.5	COSV73335961	COSN19480018	162718502		coding	n
NECAB3	COSG66569	ENST00000607805.5	COSV55777096	COSN16579253	175682980		coding	n
PLCL1	COSG79918	ENST00000428675.5	COSV70822703	COSN5128618	133535095		coding	y
MBD5	COSG101882	ENST00000638090.1	COSV69478694	COSN21299604	187263113		coding	n
BNC2	COSG113775	ENST00000484726.5	COSV108905647	COSM10735915	145262596		coding	n
SMG8	COSG109123	ENST00000578922.1	COSV107368028	COSM10276797	171534378		coding	n
TTN-AS1	COSG65308	ENST00000586707.5	COSV105217735	COSM9655047	173567288		coding	n
NFKB1	COSG78393	ENST00000394820.8	COSV56955631	COSM1694751	123018151		coding	n
DOCK9	COSG79646	ENST00000479769.1	COSV59638019	COSN15930335	143493431		coding	n
SMARCA2	COSG66167	ENST00000634772.1	COSV56646419	COSN29536510	183982847		coding	n
MUC4	COSG97438	ENST00000470451.5	COSV57772023	COSM1716253	143176982		coding	n
FIGN	COSG81754	ENST00000333129.3	COSV60770930	COSM6664079	109305561		coding	y
HIPK3	COSG87892	ENST00000456517.2	COSV57562955	COSM353741	139038463		coding	n
ZSCAN9	COSG92452	ENST00000252207.9	COSV108046099	COSM10630757	105479531		coding	n
ATP11C	COSG82018	ENST00000485626.1	COSV59569814	COSM4569936	147287736		coding	n
FN1	COSG63583	ENST00000443816.5	COSV100117287	COSM8965694	134105980		coding	n
ABLIM2	COSG93914	ENST00000505872.5	COSV108106031	COSN33276780	149615611		coding	n
SLC8A1-AS1	COSG58639	ENST00000444629.5	COSV60471085	COSN26995529	135723328		coding	n
MYO9A	COSG95805	ENST00000569314.1	COSV61849009	COSN22857826	170928093		coding	n
SNTG1	COSG115796	ENST00000643408.1	COSV72842218	COSN20780641	188082244		coding	n
SIVA1	COSG82176	ENST00000554013.1	COSV107352433	COSN32792513	167330317		coding	n
PTPRK	COSG115981	ENST00000368226.8	COSV63908955	COSN5620857	115136133		coding	n
FAM178B	COSG106797	ENST00000490605.2	COSV59967906	COSM3714266	146869267		coding	y
SCN2A	COSG62404	ENST00000636985.2	COSV51836398	COSM476142	185626964		coding	n
TP53	COSG115384	ENST00000510385.5	COSV52677403	COSM6950826	153565494		coding	n
FCRLA	COSG73458	ENST00000367957.6	COSV52686645	COSM6056684	118962624		coding	n
ITIH2	COSG83122	ENST00000379587.4	COSV64435005	COSN7068856	121609634		coding	n
PATJ	COSG96406	ENST00000307297.8	COSV57159562	COSM3491536	108029890		coding	n
RASGRP3	COSG64985	ENST00000423159.5	COSV108242182	COSM10699697	128525167		coding	n
TSPEAR	COSG107233	ENST00000642437.1	COSV104647780	COSM9488984	187392712		coding	n
RECQL5	COSG78559	ENST00000582548.1	COSV58639235	COSM3755854	170773415		coding	n
RUNDC3B	COSG83390	ENST00000497788.5	COSV55960321	COSN17087353	149189334		coding	n
OPCML	COSG93061	ENST00000612177.4	COSV59424885	COSN8216285	176114874		coding	n
DOCK10	COSG97342	ENST00000409592.7	COSV99288431	COSM7689780	127500519		coding	n
ODF2	COSG76714	ENST00000546203.5	COSV63546768	COSM7201488	162698801		coding	n
TEX41	COSG111660	ENST00000630709.2	COSV70176607	COSN25263599	184337021		coding	n
AC069228.1	COSG65234	ENST00000546936.2	COSV61048210	COSN5866413	164574924		coding	y
PCID2	COSG69887	ENST00000473462.5	COSV55813750	COSM2264175	142727287		coding	n
TCF12	COSG62962	ENST00000559703.1	COSV51024922	COSM4527272	167692172		coding	n
PPP2R2B	COSG59726	ENST00000394411.8	COSV60764575	COSN28933639	125842150		coding	n
CCND3	COSG73334	ENST00000616010.4	COSV57828489	COSM5764264	180349091		coding	n
